imdbID,movieTitle,showingStatus,movieType,synopsis,director,cast
0111161,"The Shawshank Redemption",1,"Drama","Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency.","Frank Darabont","Tim Robbins, Morgan Freeman"
0068646,"The Godfather",1,"Crime,Drama","The aging patriarch of an organized crime dynasty in postwar New York City transfers control of his clandestine empire to his reluctant youngest son.","Francis Ford Coppola","Marlon Brando, Al Pacino"
0468569,"The Dark Knight",1,"Action, Crime","When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice.","Christopher Nolan","Christian Bale, Heath Ledger"
0109830,"Forrest Gump",1,"Drama, Romance","The presidencies of Kennedy and Johnson, the Vietnam War, the Watergate scandal and other historical events unfold from the perspective of an Alabama man with an IQ of 75, whose only desire is to be reunited with his childhood sweetheart.","Robert Zemeckis","Tom Hanks, Robin Wright"
1375666,"Inception",1,"Action, Adventure","A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the project and his team to disaster.","Christopher Nolan","Leonardo DiCaprio, Joseph Gordon-Levitt"
